,findings_start_date,case_id,st_cd,industry,Length_alleged_violtn,Number_farm,Avg_farm_size,Num_task_forces,Fatal_rate,poverty_rate,num_establishments_Fewer_20employees,Avg_net_farm_income,labor_intensity,min_wage_federal,min_wage_min,min_wage_max,h2a_violtn_cnt
7724,2012-04-06,1669580,TN,VEGETABLE AND MELON FARMING,168.0,76000.0,160.0,0.0,3.8,18.6,673.0,11381.763157894737,1,7.25,7.25,7.25,0
7725,2012-01-01,1669591,TN,SUPPORT ACTIVITIES FOR CROP PRODUCTION,270.0,76000.0,160.0,0.0,3.8,18.6,673.0,11381.763157894737,0,7.25,7.25,7.25,0
7726,2012-01-05,1669601,TN,VEGETABLE AND MELON FARMING,279.0,76000.0,160.0,0.0,3.8,18.6,673.0,11381.763157894737,1,7.25,7.25,7.25,0
7727,2012-07-05,1669626,TN,VEGETABLE AND MELON FARMING,88.0,76000.0,160.0,0.0,3.8,18.6,673.0,11381.763157894737,1,7.25,7.25,7.25,0
7728,2011-10-16,1672609,GA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,365.0,47000.0,219.0,0.0,2.8,18.4,2072.0,38408.93617021277,0,7.25,5.15,5.15,0
7729,2012-04-01,1675670,NC,OTHER CROP FARMING,274.0,50000.0,168.0,0.0,3.5,17.2,2794.0,65158.7,0,7.25,7.25,7.25,0
7730,2010-09-27,1678862,CA,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",727.0,81700.0,312.0,1.0,2.1,16.3,14176.0,133208.29865361078,1,8.0,8.0,8.0,0
7731,2013-01-06,1681904,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,13.0,77900.0,327.0,2.0,2.4,15.1,13587.0,226863.0295250321,0,8.0,8.0,8.0,0
7732,2011-02-25,1686444,OR,FRUIT AND TREE NUT FARMING,729.0,38300.0,426.0,0.0,3.4,14.4,3104.0,23742.76762402089,1,8.5,8.5,8.5,0
7733,2012-07-06,1660578,TX,OILSEED AND GRAIN FARMING,17.0,244700.0,523.0,1.0,4.8,17.0,8984.0,14665.946056395587,0,7.25,7.25,7.25,0
7734,2010-04-10,1649039,MS,POULTRY AND EGG PRODUCTION,713.0,42400.0,263.0,0.0,6.4,22.5,1636.0,24038.490566037737,0,7.25,7.25,7.25,0
7735,2010-05-19,1656957,AL,FRUIT AND TREE NUT FARMING,730.0,48500.0,187.0,0.0,5.1,17.2,1280.0,22607.257731958765,1,7.25,7.25,7.25,0
7736,2012-05-06,1657480,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,20.0,80500.0,329.0,1.0,2.3,15.9,13774.0,199899.1055900621,0,8.0,8.0,8.0,0
7737,2012-05-07,1657642,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,5.0,80500.0,329.0,1.0,2.3,15.9,13774.0,199899.1055900621,0,8.0,8.0,8.0,0
7738,2012-05-11,1657648,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,15.0,80500.0,329.0,1.0,2.3,15.9,13774.0,199899.1055900621,0,8.0,8.0,8.0,0
7739,2012-04-30,1657650,CA,FRUIT AND TREE NUT FARMING,27.0,80500.0,329.0,1.0,2.3,15.9,13774.0,199899.1055900621,1,8.0,8.0,8.0,0
7740,2010-10-01,1665271,NY,FRUIT AND TREE NUT FARMING,725.0,36300.0,193.0,0.0,2.2,16.0,2171.0,41260.330578512396,1,7.25,7.25,7.25,1
7741,2010-08-19,1662821,NY,OILSEED AND GRAIN FARMING,727.0,36300.0,193.0,0.0,2.2,16.0,2171.0,41260.330578512396,0,7.25,7.25,7.25,0
7742,2010-08-23,1666054,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,727.0,47500.0,195.0,0.0,3.0,16.0,3962.0,50670.673684210524,0,7.25,7.25,7.25,0
7743,2012-07-14,1669655,WV,FRUIT AND TREE NUT FARMING,74.0,22100.0,168.0,0.0,6.9,16.7,396.0,3533.0316742081445,1,7.25,7.25,7.25,0
7744,2012-05-02,1657777,CA,SUPPORT ACTIVITIES FOR CROP PRODUCTION,25.0,80500.0,329.0,1.0,2.3,15.9,13774.0,199899.1055900621,0,8.0,8.0,8.0,0
7745,2012-10-16,1672765,NM,SUPPORT ACTIVITIES FOR CROP PRODUCTION,0.0,23800.0,1749.0,0.0,4.8,20.4,630.0,43460.50420168067,0,7.5,7.5,7.5,0
7746,2012-10-16,1672766,NM,VEGETABLE AND MELON FARMING,0.0,23800.0,1749.0,0.0,4.8,20.4,630.0,43460.50420168067,1,7.5,7.5,7.5,0
7747,2012-08-01,1682674,NY,SUPPORT ACTIVITIES FOR CROP PRODUCTION,82.0,36000.0,202.0,0.0,2.4,17.2,2211.0,42712.333333333336,0,7.25,7.25,7.25,0
7748,2011-12-09,1712488,TX,"GREENHOUSE, NURSERY, AND FLORICULTURE PRODUCTION",730.0,245000.0,531.0,1.0,4.0,17.4,8840.0,18672.097959183673,1,7.25,7.25,7.25,0
7749,2010-08-01,1601063,FL,SUPPORT ACTIVITIES FOR CROP PRODUCTION,138.0,47500.0,195.0,0.0,3.0,16.0,3962.0,50670.673684210524,0,7.25,7.25,7.25,0
